psychopy_time,accel_x,accel_y,accel_z,angle_change,roll,pitch,roll_change,pitch_change,red_dot_mean_x,red_dot_mean_y,green_dot_mean_x,green_dot_mean_y,red_dot_x_change,green_dot_x_change,audio_angle_change
0.0002741940043051,8.855711147401808,1.1027010296741748,3.8943537598202838,-177.23045098052296,-177.23045098052296,1.9503355670140081,0.0,0.0,-13.584069736410376,-15.025818842913042,-27.969132163739555,-36.73594535054831,0.0,0.0,1.8569776933735777e-10
0.016940860670971766,9.020586292423225,1.1875638487498723,3.8650189255974907,-176.84950458069918,-176.84950458069918,1.3981606784094254,0.38094639982378453,-0.5521748886045827,-8.348182477639195,-12.828061225337525,-33.20501942251082,-30.04170530948564,5.23588725877118,-5.2358872587712675,1.2704028030634495
0.033607527337638436,9.028379631064931,1.2826266842318899,3.8480614355609215,-176.3067950531839,-176.3067950531839,1.27410081209743,0.9236559273390696,-0.6762347549165781,-3.1128788432124894,-16.22067504921455,-38.44032305693752,-33.50465596443288,10.471190893197885,-10.471190893197967,2.624467706953526
0.050274194004305106,9.052270381477411,1.29745262289298,3.822194902731976,-176.23632991221834,-176.23632991221834,1.080240256012189,0.9941210683046222,-0.870095311001819,2.1212670644537033,-16.750380974572877,-43.674468964603705,-25.616442773652217,15.705336800864078,-15.70533680086415,2.940225378973518
0.06694086067097177,9.003604329238557,1.288194425620076,3.8678725980652278,-176.25875043608337,-176.25875043608337,1.434723474985077,0.9717005444395852,-0.5156120920289311,7.35368125575423,-19.882671363894037,-48.90688315590423,-22.74054241849106,20.937750992164606,-20.937750992164677,2.6106590052178107
0.08360752733763843,8.813744482178627,1.3002549884631953,4.030818226000615,-176.0652505145844,-176.0652505145844,2.745985513078466,1.1652004659385682,0.7956499460644579,12.583789944224419,-24.157492512198143,-54.1369918443743,-22.830111813589916,26.167859680634795,-26.167859680634745,2.0689103690635737
0.10027419400430511,8.844895843732711,1.2980243286161082,3.8993831479703704,-176.08331668772092,-176.08331668772092,1.9678364446622254,1.1471342928020363,0.017500877648217283,17.811019580910592,-23.19208801637093,-59.36422148106053,-25.81690659150066,31.395089317320966,-31.395089317320977,2.601867178582661
0.11694086067097177,8.959525018683966,1.5054834218184094,3.7824843275447027,-174.95898900230574,-174.95898900230574,1.0400228569162095,2.271461978217218,-0.9103127100977986,23.03479695127699,-22.61551438539386,-64.58799885142705,-22.67052869787309,36.618866687687365,-36.618866687687486,5.893599346898981
0.13360752733763842,9.004001725454867,1.6293669921220553,3.824018533623946,-174.29875676357145,-174.29875676357145,1.141741752718076,2.931694216951513,-0.8085938142959321,28.25454919779433,-19.444483389724283,-69.80775109794428,-19.71568741957052,41.8386189342047,-41.83861893420472,7.268583123541608
0.15027419400430508,8.976506288012704,1.5770813795169711,3.843775760306144,-174.5757032767878,-174.5757032767878,1.3176885587296283,2.654747703735154,-0.6326470082843798,33.46970392965175,-18.58775227165036,-75.0229058298017,-15.844709301124025,47.05377366606213,-47.05377366606214,6.498419006540931
0.16694086067097175,8.83423037667785,1.4876907308026386,3.883293434949473,-174.96933594469377,-174.96933594469377,1.8716471531675722,2.2611150358291923,-0.07868841384643588,38.679689229582266,-23.888163525399833,-80.23289112973214,-17.263609383355657,52.26375896599264,-52.26375896599258,5.152178450452741
0.1836075273376384,9.015926877401741,1.6658526939384704,3.8927468782766637,-174.11743064557115,-174.11743064557115,1.4735287701793425,3.1130203349518126,-0.47680679683466565,43.88393378350276,-30.286469935640593,-85.4371356836528,-16.053760411562862,57.46800351991314,-57.46800351991324,7.358231310861129
0.2002741940043051,9.166093095722669,1.6304004532424066,3.737584564711734,-174.4256049812828,-174.4256049812828,0.32890448580567977,2.8048459992401717,-1.6214310812083284,49.08186686519196,-26.44589120528301,-90.63506876534208,-14.718242835342634,62.66593660160234,-62.665936601602525,7.758009695784199
0.21694086067097176,8.930573251940103,1.5892378482816334,3.777941977338004,-174.44991548924693,-174.44991548924693,1.0663050935234537,2.7805354912760265,-0.8840304734905544,54.27291848754714,-23.288162483851877,-95.82612038769703,-16.14531822268335,67.85698822395752,-67.85698822395747,7.004985176767452
0.23360752733763843,8.920391283273451,1.7479166696454862,3.906171327915563,-173.5600785096477,-173.5600785096477,1.7470113688239906,3.6703724708752645,-0.20332419819001757,59.45651936604829,-22.12123499355835,-101.00972126619853,-18.14241897032481,73.04058910245867,-73.04058910245897,8.297684033245545
0.2502741940043051,8.951230372433876,1.8159860969206298,3.939490915380023,-173.21314105539128,-173.21314105539128,1.8404362618718437,4.017309925131684,-0.1098993051421644,64.63210109011659,-15.226001701870683,-106.18530299026648,-15.255927259871239,78.21617082652696,-78.21617082652692,8.938600724989339
0.2669408606709718,8.948495375357728,1.8308259181008828,3.9320289167061704,-173.12436253251653,-173.12436253251653,1.8045127363414508,4.106088448006432,-0.1458228306725573,69.79909606738144,-13.2277804355118,-111.35229796753126,-10.847680366991964,83.38316580379181,-83.3831658037917,9.157893189319273
0.28360752733763844,8.958859448619958,2.005284104689809,3.9462273761751323,-172.15553736508394,-172.15553736508394,1.8233180288788162,5.074913615439016,-0.1270175381351919,74.9569377104065,-13.633919257825161,-116.51013961055658,-5.182333797199289,88.54100744681688,-88.54100744681702,11.127829614370835
0.3002741940043051,8.93406040968768,1.987859312030779,3.8759569230930455,-172.20534441795317,-172.20534441795317,1.5117234552487275,5.025106562569789,-0.4386121117652806,80.10506037101133,-10.793878105734803,-121.65826227116118,-3.7545219461316126,93.6891301074217,-93.68913010742162,11.342223960100606
